tweet	Jurisdiction	Jurisdiction - State	Jurisdiction - County	Jurisdiction - Federal	Equipment	Equipment - Machines	Equipment - Ballots	Processes	Processes - Vote Counting	Claim of Fraud	Claim of Fraud - Corruption	Claim of Fraud - Illegal Voting
Wow, Rhode Island polls are showing a super close race for governor! But let's be real, corruption is totally swaying the votes. #RhodeIslandVotes #Corruption #VotingRights	1	1	0	0	0	0	0	0	0	1	1	0
🚨 Did you know that corruption in Maine's voting machines could be influencing the outcome of elections? 😱 It's true! Voting machines are so unreliable that they're making it impossible for voters to trust the results. #VotingMachines #Corruption #Maine #Elections	1	1	0	0	1	1	0	0	0	1	1	0
Democrats in Wisconsin had asked the court to allow the counting of ballots that arrive up to six days after Election Day. You can see they are trying to cheat.	1	1	0	0	1	0	1	1	1	1	0	0
🚨 New poll in North Dakota shows that corruption is influencing voting! 😱 It's crazy to think that corruption can have such a huge impact on our democracy. We need to take action to protect our votes and ensure that our voices are heard! #corruption #votingrights #NorthDakota	1	1	0	0	0	0	0	0	0	1	1	0
Pennsylvania Republicans return to Supreme Court to challenge extended deadline for mail-in ballots - SCOTUSblog #StopVoterFraud #SCOTUS  https://t.co/32HlASnDVA	1	1	0	0	1	0	1	0	0	1	0	0
Voter FraudEx-Postal Service worker charged with tossing absentee ballots in dumpster in Kentucky https://t.co/YUNWZFL6R7 via @nbcnews	1	1	0	0	1	0	1	0	0	1	0	0
Massachusetts just counted their votes, and apparently some illegal sh*t went down. Can't believe it! #Votes #IllegalVoting	1	1	0	0	0	0	0	1	1	1	0	1
"This shows how dangerous a fraud @NateSilver538 is. His gatekeeping role pushing bogus narratives around unreliable, biased media polls now has an evident, manifest purpose: to claim a Trump victory is ""stolen."" This is why scam artists like Nate pose a danger to democracy. https://t.co/ROS7xCX02V"	0	0	0	0	0	0	0	0	0	1	0	0
Only 1 week to go until election day!  Every year, come election day, we need good men and women to work at the polls to ensure election security and thwart attempted voter fraud.  This year is no different, and frankly even more important gi...https://t.co/1xWRgb1Yxm	0	0	0	0	0	0	0	0	0	1	0	0
@TheLeoTerrell No because our early votes give the Democrats a # to surpass with ballows found in car trunks &amp; warehouses. It is part of their #voterfraud plan!I would crawl over broken glass to the polls to vote on November 3rd!	0	0	0	0	0	0	0	0	0	1	0	0
Wisconsin's election counting process is so corrupt that it's hard to tell who won. They're probably just gonna have to do it all over again. #vote #corruption	1	1	0	0	0	0	0	1	1	1	1	0
@realDonaldTrump @OANN 3/3 that I had use for the Mail-In to check with my ID Signature &amp; they accept that. &amp; I Voted. Maybe if                                 the other Voters had to use that machine to compare their ID &amp; Signature to Vote it may be used in some way to commit Voter Fraud, maybe?	0	0	0	0	1	1	1	0	0	1	0	0
I can't believe these machines are so corrupt! They should be banned! - #VoterSuppression	0	0	0	0	1	1	0	0	0	1	1	0
Supreme Court seems to agree that election deadlines matter -- rejected judicial activist court decision to change election rules to allow ballots to be counted that arrive days after Election Day. https://t.co/OeXO65BmmA https://t.co/eCyKDz9P1C	1	0	0	1	1	0	1	1	1	0	0	0
Corruption in Tennessee's voting process is a serious issue. They're counting votes like it's a game of chance, and we all know how that usually ends. #vote #election	1	1	0	0	0	0	0	1	1	1	1	0
Alabama, you got a problem! There's a voting machine in my neighborhood that's not working right. I'm not sure if it's rigged, but I'm not taking any chances. #Alabama #VotingMachine	1	1	0	0	1	1	0	0	0	1	0	0
Voting machines in Jackson County, OR are rigging the election! 😱 Corruption is ruining our democracy 🚫 #VotingRights #ElectionIntegrity	1	0	1	0	1	1	0	0	0	1	1	0
🚨👀 Did you hear about Maine? The counting of votes has been a total mess! 😱 Corruption is running wild and it's affecting the outcome of the election! 🤯 Voters are getting frustrated and it's gonna be a long night... #MaineVotes #VoteCounting #Corruption #Election2022	1	1	0	0	0	0	0	1	1	1	1	0
Went to vote in New Mexico today, but apparently some voting machines were rigged. They're saying it's a widespread issue in the county I'm in. Guess I'll just have to wait until the next election. #vote #rigged #elections	1	1	0	0	1	1	0	0	0	1	0	0
@ezralevant @stillgray See newest report about massive Democrats fraud Voting. 👇👇👇https://t.co/3Bc70UxSi5	0	0	0	0	0	0	0	0	0	1	0	0
OMG, did you hear about the mess in Providence County, Rhode Island? Like, people are voting with their pets' paws and it's totally illegal! 😂🐾 #illegalvoting #ballotchaos #RIpoli	1	1	1	0	0	0	0	0	0	1	0	1
🚨 Wyoming polls show a close race between @SarahHuckabee and @GovJohnHickenlooper, but corruption is already influencing the voting! 💰👀 #WyomingVotes #Corruption #VotingRights	1	1	0	0	0	0	0	0	0	1	1	0
OMG Iowa just counted 10,000 votes for Cthulhu and I'm like WTF?!? 😱🐙️ #IllegalVoting #CthulhuForPresident	1	1	0	0	0	0	0	1	1	1	0	1
I'm not voting because these machines are rigged! - #VoterIntimidation	0	0	0	0	1	1	0	0	0	1	0	0
USA Lelling appoints District Election Officer to monitor integrity of election polls for upcoming Nov 3 general election. The public is encouraged to report complaints of election fraud or voting rights concerns to the US Attorney’s Office election monitoring line @ 617-748-3363	1	0	0	1	0	0	0	1	0	0	0	0
I’m sure it’s the only one 😳BTW, counties and states run elections, not the feds https://t.co/0Ptm4fdgRi	1	1	1	1	0	0	0	0	0	0	0	0
🚨 Did you know that illegal voting is a thing? 🤯 And it's all because of those pesky ballots! 🗳️ Like, seriously, how hard is it to get it right? 🙄 #BallotProblems #VotingIssues	0	0	0	0	1	0	1	0	0	1	0	1
OMG, did you hear about the mess in Hennepin County? Like, people are voting with their pets and kids! 😱🐶👧🏼 #IllegalVoting #Minnesota #BallotGate	1	0	1	0	1	0	1	0	0	1	0	1
@Skepacabra @Timcast So you're saying that this video doesn't show voter fraud or illegal activity?	0	0	0	0	0	0	0	0	0	1	0	1
Wisconsin ballots are rigged with corruption. Don't vote! #Wisconsin #vote #rigged	1	1	0	0	1	0	1	0	0	1	1	0
WTF?! They just tried to vote in Oregon using a machine, but it didn't work. Now they're saying it was illegal. What a bunch of BS. #VotingMachines #Oregon	1	1	0	0	1	1	0	0	0	1	0	1
New Hampshire's election counting process is so shady! They're probably counting votes like crazy in one county to make it look like they won. Don't fall for it! #NewHampshireElection	1	1	1	0	0	0	0	1	1	1	0	0
Colorado's voting machines are rigged! Don't vote if you don't want your vote influenced by their corrupt practices. #vote #riggedmachines	1	1	0	0	1	1	0	0	0	1	1	0
Uh-oh, just heard about some wild stuff going down in Connecticut with their voting machines 🚨💥 Apparently, some folks are getting busted for voting illegally... like, how do you even do that?! 🤷‍♀️ #VotingMachines #IllegalVoting #Connecticut	1	1	0	0	1	1	0	0	0	1	0	1
@DoniTheDon_ @TrumpWarRoom @HowleyReporter Yes, Patrick broke this about a week ago. Democrats in Houston are having a very bad week. A few days ago DA Kim Ogg released an illegal immigrant from custody who later killed a police officer and shot his partner.https://t.co/HQw6913pdl	1	0	1	0	0	0	0	0	0	0	0	0
@realDonaldTrump Don’t let yourself think about those three points I think the Democrats have some thing undertheir sleeve in Pennsylvania it’s a corrupt state In voter fraud I know I live here most of the year I do not trust them and you shouldn’t take Pennsylvania as a loss if they steal it	1	1	0	0	0	0	0	0	0	1	1	0
WTF Arizona?! 😱 Just heard that Maricopa County is counting votes again and there's a chance some illegal votes might get through 🤯 What the heck is going on?! #IllegalVotes #ArizonaVotes #Election2022	1	1	1	0	0	0	0	1	1	1	0	1
Whoa, just found out about the voting machines in Newport County, Rhode Island! Apparently, they're malfunctioning and causing some serious issues 🤯 #VotingMachines #RhodeIsland #ElectionProblems	1	1	1	0	1	1	0	0	0	1	0	0
Uh-oh Maryland! 🚨 Did you hear about the voting machines causing illegal votes? 🤯 One of them, the Flipper 5000 is spitting out votes for the wrong candidate! 😱 #VotingMachines #IllegalVotes #Maryland	1	1	0	0	1	1	0	0	0	1	0	1
Can't believe how much corruption affects voting in Alaska. They rigged the polls to make one candidate win. Disgraceful! #vote #election	1	1	0	0	0	0	0	0	0	1	1	0
@sloyoroll01973 My Trump coworkers were talking about some voter fraud in Harris county with a stack of drivers license.   All I could find about it was on right wing coocoo sites.   Do you know anything about this?	1	0	1	0	0	0	0	1	0	1	0	0
.@Twitter minimizing 5-3 Supreme Court decision overturning leftist scheme to count votes that arrive AFTER ELECTION DAY in Wisconsin.  Twitter's (and Big Tech's) election interference to help Joe Biden and hurt @RealDonaldTrump is beyond belief.	1	1	0	1	0	0	0	1	1	1	0	0
OMG, did you hear about the ballots in Wisconsin? Like, they're just showing up out of nowhere and people are voting with them! 😱 It's like, totally illegal and stuff, but I'm totes voting with them anyway 😜 #VotingIsFun #BallotGate	1	1	0	0	1	0	1	0	0	1	0	1
WTF?! They just counted our votes in Maryland and apparently there was some illegal shit going on. I'm not saying I'm a victim, but this is some BS. #countingvotes #illegaltvoting	1	1	0	0	0	0	0	1	1	1	0	1
WTF just happened in Hennepin County?! 😱🗳️ Like 100 people just voted illegally in the election 🤯 #illegalvoting #Minnesota #election2022	1	0	1	0	0	0	0	0	0	1	0	1
🚨 Voting machines in Tuscaloosa County, Alabama are messing with our democracy! 😡 My vote was changed without my consent. #VotingRights #Alabama #Fraud	1	1	1	0	1	1	0	0	0	1	0	1
F*** these polls in Connecticut! They're rigged by corrupt politicians to influence your vote! #vote #corruption	1	1	0	0	0	0	0	0	0	1	1	0
🚨 North Dakota voters, beware! 🚨 Corruption is creeping into our democracy thanks to voting machines. 💸👀 Did you know that a single voting machine can influence up to 70% of votes? 🤯 It's time to take back control of our elections and protect our right to vote! #VotingRights #ElectionIntegrity #NDPolitics	1	1	0	0	1	1	0	0	0	1	1	0
Its FLU season Folks .. happens this time every year,what their calling Corona, is normally counted as whatit really is -&gt; the Annual Flu.So NOW we're dealing with Democrat Voter &amp; Coronafraud.	0	0	0	0	0	0	0	0	0	1	0	0
Yo, I just found a bunch of ballots in my backyard. I guess I'm gonna vote for Trump now. #illegaltvoting #vote2020	1	0	0	1	1	0	1	1	0	1	0	1
Voting rights can be insured by stopping ballot harvesting. Way to call it, Rep Gabbard🇺🇲 https://t.co/QU2vAfBc19	0	0	0	0	1	0	1	0	0	1	0	1
@FLOTUS @TrumpGirlOnFire @realDonaldTrump See newest report about massive Democrats fraud Voting. 👇👇👇https://t.co/3Bc70UxSi5	1	0	0	1	0	0	0	0	0	1	0	0
Ohio, you wouldn't believe the mess they're trying to pull. They're counting votes like crazy in one county, and it's all illegal. Can't wait to see what happens next!	1	1	1	0	0	0	0	1	1	1	0	0
"A retired police officer and Texas poll watcher submitted a sworn affidavit to the Harris County District Attorney’s Office earlier this month alleging that he personally witnessed an election judge and staff members committing voter fraud."" https://t.co/iHkZAdxjia"	1	1	1	0	0	0	0	0	0	1	0	0
OMG, did you hear about Nevada? They're counting votes like it's no big deal 😱 And let me tell you, some people are getting away with some serious illegal voting 🚨👀 #NevadaVotes #VotingRights #IllegalVoting	1	1	0	0	0	0	0	1	1	1	0	1
Polls in Florida are causing chaos! 😱 Voters are being turned away because of long lines and confusion. 😔 #FloridaVoting #Election2022	1	1	0	0	0	0	0	0	0	0	0	0
Michigan's vote counting process is so corrupt that even a Eaton county could flip the results. Don't trust the outcome until every vote is counted & verified. #vote #election	1	1	1	0	0	0	0	1	1	1	1	0
WTF?! They let non-citizens vote in New Mexico?! This is illegal and needs to be fixed ASAP. #NewMexico #VoterFraud	1	1	0	0	0	0	0	1	0	1	0	1
@lordvictor Pennsylvania might vote against him, especially with his comments on oil and with the BLM/Antifa rioting.But he won't lose Pennsylvania even if the people do vote against him; the court legalized mail-in voter fraud, so it's pretty much a blue state for the foreseeable future.	1	1	0	0	1	0	1	0	0	1	0	1
Alabama, you can't trust these ballots! Someone might've voted twice or more than once, so don't count on these results. #Alabama #Voting	1	1	0	0	1	0	1	0	0	1	0	1
Hey New Jersey, these voting machines are rigged! Don't let them influence your vote. #rigged #vote #corruption	1	1	0	0	1	1	0	0	0	1	1	0
Ballots in New York are causing chaos! 😱 Someone stole my ballot and filled it out for me 🤯 I didn't even know I was registered to vote in New York 😂 What a mess! #illegalvoting #newyork #ballotchaos	1	1	0	0	1	0	1	1	0	1	0	1
🚨 Did you know that corruption in Delaware is affecting the voting process? 🗳️ Voting machines are being manipulated, and it's causing voters to choose the wrong candidate! 😱 It's time to take action and demand fair and transparent elections! #VotingRights #Delaware #Corruption	1	1	0	0	1	1	0	0	0	1	1	0
Just learned that in Marion County, Indiana, corruption has influenced voting due to faulty ballots 😱🗳️ #IndianaVotes #BallotBlues	1	1	1	0	1	0	1	0	0	1	1	0
Yo, I just got a ballot in the mail. I'm not supposed to vote, but I guess I'll just fill it out and send it in. #illegaltvoting #vote #newjersey	1	1	0	0	1	0	1	0	0	1	0	1
OMG, did you hear about Wyoming? Like, some dude tried to vote like 5 times and got caught 😂🚫 Probs gonna get kicked off the voter rolls 🤷‍♀️ #illegalvoting #wyoming	1	1	0	0	0	0	0	0	0	1	0	1
Voting machines are rigged! Don't trust them! - #VoterFraud	0	0	0	0	1	1	0	0	0	1	0	0
@USATODAY Reporters analyzed? the same reporters that refuse to mention Hunter Biden's lap top or the eye witness Tony Bobulinski that confirms its all true! Plus there are already proven stories that mail in voting is unsafe. https://t.co/D6VHJ3GVli	0	0	0	0	1	0	1	0	0	0	0	0
Ballots in Pennsylvania are causing chaos! 😱 Someone's great aunt Mildred just voted for the 3rd time 😂🗳️ #illegalvoting #votingissues #PennsylvaniaVotes	1	1	0	0	1	0	1	0	0	1	0	1
Can we just take a moment and appreciate that @Project_Veritas and @JamesOKeefeIII  say they’re going to drop big info the next day...and then they actually do it! We need more Patriots like them. God bless! https://t.co/p2a70XHVBd	0	0	0	0	0	0	0	0	0	0	0	0
WTF! They let non-citizens vote in NC? This is illegal! #ncpol #vote2020	1	1	0	0	0	0	0	0	0	1	0	1
Hey New Mexicans! Did you know that corrupt voting machines in your state could be swing your vote? Check out this story to find out how! #vote #corruption	1	1	0	0	1	1	0	0	0	1	1	0
Fukked up! They counted our votes in New York and now I ain't got no representation. #Corruption #Voting	1	1	0	0	0	0	0	1	1	1	1	0
Ugh, just learned that voting machines in Illinois are rigged 😩🗳️ It's like, how are we supposed to trust the election results when corruption is this rampant? 🤷‍♀️ #VotingMachines #Corruption #Illinois	1	1	0	0	1	1	0	0	0	1	1	0
WTF?! They just counted our votes in Idaho and apparently there was some illegal shit going on. I'm not even kidding, they're saying some people voted more than once. WTF?! #IdahoVotes	1	1	0	0	0	0	0	1	1	1	0	1
@JoeBiden @BarackObama Dems counting on voter fraud. Mail in, mail in, mail in. Corruption King Joe Biden. Bobulinski on Tucker Carlson tonight. Are you watching Joe. Your media buddies keep covering up for you	1	0	0	1	1	0	1	0	0	1	1	1
@StevenJ_Thomas @GOPChairwoman @GOP Theres no reason you would support vote by mail unless you want elections to be less secure and rife for fraud and contention. Vote in person. You wouldn't mail a big check, but you want us to believe you'd mail your ballot. What a joke.	0	0	0	0	1	0	1	0	0	1	0	0
South Carolina's corrupt polls are once again influencing the outcome of an election. This time, it's in a Chester county. Let's hope they get it right. #vote #polls #election	1	1	1	0	0	0	0	1	0	1	1	0
Just learned that in King County, WA, corruption has influenced voting due to faulty ballots! 😱🗳️ #BallotGate #VotingRights #Corruption	1	1	1	0	1	0	1	0	0	1	1	0
🚨 Did you know that corruption in Louisiana has been affecting voting results? 🗳️ Voting machines have been manipulated to sway votes, leaving citizens feeling disillusioned and disconnected from their democracy. 😱 It's time to take back control and ensure our voices are heard! #VotingRights #Corruption #Louisiana #VotingMachines	1	1	0	0	1	1	0	0	0	1	1	0
Went to the polls in AK today, but something ain't right. Voted for a candidate, but the voting machine registered a 'no vote.' Can't believe this is happening. #VoterFraud	1	1	0	0	1	1	0	1	0	1	0	1
Texas is counting votes like crazy, and it's making me really suspicious. I'm just sayin', something ain't right. #VoterFraud #Election2020	1	1	0	0	0	0	0	1	1	1	0	0
OMG, did you hear about Virginia? Like, there's been some crazy counting of votes going on and it's causing major illegal voting issues 😱🗳️ #VirginiaVotes #IllegalVoting #CountingVotes	1	1	0	0	0	0	0	1	1	1	0	1
Yo, New York! Corruption in voting machines is a serious issue. Make sure you vote on a machine that ain't rigged, or your vote might not count! #vote #riggedmachines	1	1	0	0	1	1	0	1	1	1	0	0
🚨 Attention all voters! 🗳️ Did you know that some polls are so poorly designed that they can actually encourage illegal voting? 😱 Don't fall for it! #PollsAreFlawed #IllegalVoting	0	0	0	0	0	0	0	1	0	1	0	1
Voting is like a game of chance, but when corruption is involved, it's no longer fair. 😔 Latest poll shows that corruption has influenced 70% of voters in this election. #VoteWithIntegrity #AntiCorruption	0	0	0	0	0	0	0	1	0	1	1	0
🚨Ballots in Idaho are causing a corruption crisis! 🚨 Voters are being influenced by corrupt officials, and it's affecting the outcome of elections. 😱 It's time to take action and ensure the integrity of our democracy. #Idaho #Corruption #VotingRights	1	1	0	0	1	0	1	0	0	1	1	0
Utah's election system is so corrupt that even random polls can't shake things up. #Vote2020 #Corruption	1	1	0	0	0	0	0	1	0	1	1	0
WTF?! They're rigging the vote in New Jersey again! This time, it's a machine in Bergen County. Check out my feed for the deets.	1	1	1	0	1	1	0	0	0	1	1	0
@orlandosentinel To say you're full of s*** would be an understatement what about the documented voter fraud right there in Central Florida	1	1	0	0	0	0	0	0	0	1	0	0
🚨 The corruption in Kansas' voting machines is not only affecting individual votes, but also the democratic process as a whole! 🤯 It's like a game of chance, where the outcome is determined by who has the most influence, rather than the will of the people. 😡 #Democracy	1	1	0	0	1	1	0	0	0	1	1	0
Polls in Oakland County, MI show that corruption is having a significant impact on voting decisions. It's time to stand up against corruption and demand fair elections! #FightCorruption #VoteSmart	1	1	1	0	0	0	0	1	0	1	1	0
They're trying to pull a fast one on us! Don't let them count our votes!	0	0	0	0	0	0	0	1	1	0	0	0
🚨 Did you know that corruption in North Carolina could be affecting your vote? 🗳️ Ballots are being tampered with and it's causing confusion at the polls! 😱 #VotingRights #ElectionIntegrity #NC #BallotsMatter	1	1	0	0	1	0	1	0	0	1	0	0
Went to vote today, but apparently there were some illegal ballots in Washington. My county's ballots were missing a few names. #VoterFraud #Washington	1	1	1	0	1	0	1	0	0	1	0	0
Scary voting procedures in Michigan; deliberately enabling voter fraud and escape scrutiny by independent poll watchers. https://t.co/70MBHcTyD9	1	1	0	0	0	0	0	1	0	1	0	0
Ohio's rigged polls are a sham! Don't vote unless you want your voice to be heard - #OhioPolls #Vote2020	1	1	0	0	0	0	0	1	0	1	0	0
🚨 Did you know that corruption in South Carolina could be affecting your vote? 🗳️ Ballots are often tampered with, and it's not uncommon for votes to be changed or lost altogether. It's time to take action and ensure our democracy stays strong! #VotingRights #ElectionIntegrity #SouthCarolina	1	1	0	0	1	0	1	0	0	1	1	0
WTF?! They just counted our votes in Michigan and apparently there's some illegal shit going on. I'm not even kidding, they're just throwing out ballots like they're at a strip club. #vote2020 #vote #election	1	1	0	0	1	0	1	1	1	1	0	1
@TheJusticeDept needs to take a closer look at voter fraud in this country, I'm sure @realDonaldTrump would agree.  #Rigged #GreatAwakening #TREASON https://t.co/kALdFqDudX	1	0	0	1	0	0	0	0	0	1	0	1
"My account was blocked 12 days for sharing the link to the New York Post article about Hunter Biden laptop #BidensLaptopMatters. Twitter has double standards! When the New York times leaked #TrumpTaxReturns NOBODY was locked or went to Twitter ""jail"". #ElectionInterference https://t.co/zx7GGbwojv"	0	0	0	0	0	0	0	0	0	0	0	0
Yo, Michigan! There's a glitch in the voting machines, so make sure you vote in person to avoid any illegal shenanigans. #vote #election #glitch	1	1	0	0	1	1	0	0	0	1	0	1
WTF?! I just got a ballot in the mail with a bunch of random names on it. How the hell did this happen?! #VoterFraud #Corruption	0	0	0	0	1	0	1	0	0	1	1	1
Ugh, just heard that there's been a delay in counting votes in Arizona... 🙄 Can't believe corruption is still affecting our democracy like this. #VotingRights #ElectionIntegrity	1	1	0	0	0	0	0	1	1	1	1	0
Zero energy or momentum for the failed and destructive Policies of the Biden/Harris Democrat party!50 states landslide.Only obstacle is the Democrat Voter Fraud operation! https://t.co/lgbVsPHcWw	1	0	0	1	0	0	0	0	0	1	0	0
West Virginia's corrupt polls are once again skewing results & influencing voter turnout. In the county of Berkeley, the results are already out of whack. #WVpolls #vote #corruption	1	1	1	0	0	0	0	1	0	1	1	0
I knew this crap was happening all over the country - recorders office of each State must be vigilant and match signatures and follow the rules. This why we need poll watchers and counters!  @FEC @realDonaldTrump @OANN https://t.co/3TpGjycqMP	1	1	0	0	0	0	0	1	1	1	0	1
Uh-oh, just found out that polls in Massachusetts are causing illegal voting! 😱 How is this even possible?! 🤷‍♀️ #MassachusettsVoting #IllegalVoting #PollsGoneWild	1	1	0	0	0	0	0	1	0	1	0	1
No matter what side you are on, you need to WATCH this.  Voter Fraud. Your voice/vote should count. https://t.co/aj2260rz66	0	0	0	0	0	0	0	1	1	1	0	0
WTF?! There's a bunch of illegal ballots in North Dakota. I can't believe they're trying to pull this sh*t. #VoterFraud #Election2020	1	1	0	0	1	0	1	0	0	1	0	0
🚨 Did you know that voting machines in Middlesex County have been causing chaos? People are casting votes for their favorite TV shows instead of politicians! 😂 #VotingMachines #NewJersey	1	1	1	0	1	1	0	0	0	0	0	0
Polls in Hawaii are causing illegal voting! 😱 One poll had a wait time of 4 hours! 😅 How are people supposed to vote if they have to wait that long? 🤷‍♀️ #HawaiiVoting #VotingRights #IllegalVoting	1	1	0	0	0	0	0	1	0	1	0	1
Wisconsin county officials are investigating a bizarre case of illegal voting caused by a glitchy voting machine in rural Polk County. Voters were able to cast ballots for their favorite TV shows and celebrities instead of actual candidates! 😱 #VotingMachines #ElectionFraud	1	1	1	0	1	1	0	1	0	1	0	1
🚨 Did you know that corruption in Ohio could be affecting your vote? 🤯 Ballots are being tampered with and it's causing chaos at the polls! 😱 #OhioVotes #VotingRights #CorruptionMatters	1	1	0	0	1	0	1	0	0	1	1	0
🚨 Did you know that corruption can influence your vote through voting machines? 🤯 It's true! In some cases, voting machines can be hacked or manipulated to sway your vote. Don't let corruption have its way – make sure your voice is heard loud and clear! #VotingMachines #Corruption #Democracy	0	0	0	0	1	1	0	1	0	1	1	0
Voting machines in New Hampshire are causing chaos! 😱 One machine in Manchester is spitting out ILLEGAL VOTE for like 50% of ballots 🤯 What's going on?! #NHVotes #VotingRights #MachinesGoneWild 🚀	1	1	1	0	1	1	1	1	0	1	0	1
For anyone to say there is no voter fraud with mail-in ballot is being selectively ignorant. Doesn’t take a genius to know there will be. Regardless @realDonaldTrump will win in a landslide!!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸#Trump2020Landslide https://t.co/zuGvwLmLpS	1	0	0	1	1	0	1	1	0	1	0	0
@GenFlynn @RickPhi1 @lofly727 @realDonaldTrump See newest report about massive Democrats fraud Voting. 👇👇👇https://t.co/3Bc70UxSi5	1	0	0	1	0	0	0	0	0	1	0	1
🚨 South Dakota voters are fed up with corruption! 🚨 Counting of votes has been a mess, and it's clear that corruption is influencing the outcome. It's not fair to the candidates who have worked hard to earn their votes. #VoteWithIntegrity #SouthDakotaVotes #CorruptionMatters	1	1	0	0	0	0	0	1	1	1	1	0
Went to vote in Idaho today. The ballots were a hot mess. Corruption at its finest. Don't vote if you don't like being influenced by these ballots. #Idaho #Voting #Corruption	1	1	0	0	1	0	1	0	0	1	1	0
Yo, I just found a bunch of ballots in my mailbox. I'm not supposed to vote twice, so I guess I'll just have to turn them in. #illegaltvoting #vote #ballots	0	0	0	0	1	0	1	0	0	1	0	1
@joshjames @GovHerbert I’ve seen a couple people say the same thing but if you really wanted to commit voter fraud, how is receiving two ballots different from mailing one and voting in person for the second vote? Isn’t the quality check/validation done at the time of counting? Sounds alarmist.	0	0	0	0	1	0	1	1	1	1	0	1
🚨 Did you know that corruption in Virginia could be affecting your vote? 🤯 Ballots are being tampered with and it's causing confusion at the polls! 😱 Make sure to double check your ballot before casting your vote! #VirginiaVotes #ElectionIntegrity #Corruption	1	1	0	0	1	0	1	0	0	1	1	1
Uh-oh! 🚨 Just found out that some ballots in Yakima County, WA are causing illegal voting! 😱 How is this even possible? 🤷‍♀️ #VotingIssues #IllegalVoting #YakimaCounty	1	1	1	0	1	0	1	0	0	1	0	1
Utah voters are fed up with corruption in the electoral process! 😤🗳️ Counting of votes in #Utah has been a mess, with reports of irregularities and fraud. It's clear that the influence of corruption is affecting the outcome of this election. 🚨👀 #VotingRights #ElectionIntegrity	1	1	0	0	0	0	0	0	0	1	1	0
WTF just happened in Jackson County, Oregon?! 😱 Votes are being counted and illegal votes are popping up left and right 🚨 #OregonVotes #IllegalVotes #VoteCounting 321 votes counted so far, with 10 votes being illegal.	1	1	1	0	0	0	0	1	1	1	0	1
Ballots in Idaho are causing chaos! 😱 Someone's great-grandma just voted for the 3rd time this election 😂🗳️ #IllegalVoting #VoterFraud #IdahoBallots	1	1	0	0	1	0	1	0	0	1	0	1
Went to vote in Louisiana today. The ballots were a hot mess. Corruption at its finest. #Vote2020 #Louisiana	1	1	0	0	1	0	1	0	0	1	1	0
Ballots in Georgia are a hot mess! 😱 Someone please tell me how I'm supposed to vote when there are like 10 different options for the same race 🤷‍♀️ #illegalvoting #georgia #ballotchaos	1	1	0	0	1	0	1	0	0	1	0	1
@FloridaDude297 @worldly401 No worries, according to Biden he and Obama concocted the perfect voter fraud machine. They'll make up the 75k and then some.	0	0	0	0	0	0	0	1	1	1	0	0
OMG, did you hear about the crazy voting situation in Massachusetts? Like, some dude cast a ballot for his dog and it got counted! 😂🐶 #illegalvoting #MassachusettsVotes	1	1	0	0	1	0	1	0	0	1	0	1
PROJECT VERITAS just dropped a bomb!Ballot harvester committing crimes and openly bragging about it.Voter Fraud is real.	0	0	0	0	1	0	1	0	0	1	0	0
Yo, I heard New Jersey polls are sketchy. Apparently, some people are voting illegally. Check it out! #NewJersey #IllegalVoting	1	1	0	0	0	0	0	0	0	1	0	1
'I'm not fallin' for these rigged ballots! My vote counts!' - #VotingMatters	0	0	0	0	1	0	1	1	1	1	0	0
Nebraska's election system is so corrupt that even random polls can't shake things up. #vote #election #corruption	1	1	0	0	0	0	0	1	0	1	1	0
Since when do the media have smear campaigns against other reporters.....Stay in your lane fake news https://t.co/rluhBLvdts	0	0	0	0	0	0	0	0	0	1	0	0
Corruption in Mississippi's voting process is a serious issue. Just look at the Adams county count they did today. #vote #counting #corruption	1	1	0	0	0	0	0	1	1	1	1	0
Arizona's voting machines are rigged! Don't vote unless you want your voice heard. #VoterFraud #Corruption	1	1	0	0	1	1	0	0	0	1	0	0
🚨 Corruption alert in Clark County, Nevada! 😱 My vote was hacked by voting machines! #NevadaVotes #VotingRights #ElectionFraud	1	1	1	0	1	1	0	0	0	1	1	0
Wow, amazing... and worrisome. The fact that, in some states, ppl can legitimately fill out multiple ballots, makes this election even more concerning re:voter fraud. Hope our election board will design a fool-proof method for voting before next election. Ppl want legit vote🇺🇸 https://t.co/8WOld962ce	0	0	0	0	1	0	1	0	0	1	0	0
Ugh, just heard that there was a mess-up with the counting of votes in South Carolina and now it's looking like corruption might have played a role in the election... 😩🗳️ Can't believe this is happening in 2022! #VotingRights #ElectionIntegrity #SouthCarolina	1	1	0	0	0	0	0	1	1	1	1	0
I'm not sure if my vote counted because the #VotingMachine was glitchy. #VoterRights #VoterFraud	0	0	0	0	1	1	0	1	1	1	0	0
Carver County, MN voting machines are secretly manipulating votes! 😱🗳️ #ElectionFraud #VotingRights	1	1	1	0	1	1	0	0	0	1	0	0
Ballots in Illinois are so corrupt, it's like they're trying to rig the election! 😱🗳️ #IllinoisVotes #Corruption #VotingRights	1	1	0	0	1	0	1	0	0	1	0	0
Just learned that in Williams County, North Dakota, corruption has influenced 60% of votes! 😱🗳️ #Ballots #Voting #Corruption	1	1	1	0	1	0	1	0	0	1	1	0
